batch_id,supplier_batch_label,supplier_id,part_id,quantity,manufacture_date,qc_pass_rate,weight_mean_g,weight_std_g,lead_time_days,batch_cost_usd,is_anomalous,anomaly_type,production_shift,operator_id,temperature_c,humidity_pct,material_lot,inspection_level,storage_location
BATCH-000001,LOT-4056-01,SUPP-001,PART-001,3974,2023-10-07T00:00:00,0.8537,84525.451,3.035,44,6952115.96,False,none,day,OP-024,20.579684406066328,65.93074749518911,MAT-3255,Standard,WH-B-25
BATCH-000002,LOT-1526-02,SUPP-001,PART-001,4642,2024-10-20T00:00:00,0.875,84502.179,1.53,45,8097601.72,False,none,day,OP-094,18.821157322736763,43.755573766076516,MAT-2875,Standard,WH-B-48
BATCH-000003,LOT-3043-03,SUPP-001,PART-001,3428,2023-02-26T00:00:00,0.8545,84807.77,2.6,53,6294458.09,False,none,night,OP-041,18.2773317774385,54.41520841773487,MAT-7731,Reduced,WH-C-16
BATCH-000004,LOT-8833-04,SUPP-001,PART-001,1335,2022-12-16T00:00:00,0.8593,83969.851,3.589,43,2482458.29,False,none,night,OP-066,24.8422647042035,46.025772695868824,MAT-4041,Standard,WH-A-40
BATCH-000005,LOT-1207-05,SUPP-001,PART-001,4991,2024-08-29T00:00:00,0.8451,85537.709,2.643,49,9133713.97,False,none,night,OP-058,23.486827873932032,54.42711494346955,MAT-8294,Standard,WH-B-14
BATCH-000006,LOT-3356-06,SUPP-001,PART-001,1979,2023-02-12T00:00:00,0.847,85237.728,2.146,55,3451018.09,False,none,evening,OP-032,21.487370015171972,56.66090652812893,MAT-8057,Standard,WH-A-32
BATCH-000007,LOT-4453-07,SUPP-001,PART-001,2277,2024-06-24T00:00:00,0.8427,85463.695,3.045,62,4153847.92,False,none,night,OP-049,21.597971074661075,57.64175134270238,MAT-6631,Standard,WH-C-34
BATCH-000008,LOT-4591-08,SUPP-001,PART-001,2423,2024-06-27T00:00:00,0.8646,84952.938,2.71,57,4248697.19,False,none,night,OP-087,22.427783732584142,51.18545911566803,MAT-1001,Standard,WH-A-38
BATCH-000009,LOT-5356-09,SUPP-001,PART-001,3330,2023-03-26T00:00:00,0.867,85113.992,1.593,44,6212274.51,False,none,evening,OP-065,23.414311879806206,43.92620982155049,MAT-8062,Standard,WH-C-10
BATCH-000010,LOT-1575-10,SUPP-001,PART-001,2735,2022-11-10T00:00:00,0.8542,84696.713,2.558,54,5027788.97,False,none,night,OP-084,20.655510129456967,58.166144729346485,MAT-3734,Standard,WH-A-49
BATCH-000011,LOT-2229-11,SUPP-001,PART-001,4782,2024-08-10T00:00:00,0.8293,84474.13,1.13,47,8271067.17,False,none,night,OP-020,24.90641086071193,68.95356089308137,MAT-1125,Reduced,WH-B-29
BATCH-000012,LOT-1891-12,SUPP-001,PART-001,3349,2024-05-29T00:00:00,0.8348,85267.431,0.965,62,6155249.27,False,none,evening,OP-008,24.78938432275089,42.81702147368255,MAT-7812,Standard,WH-A-47
BATCH-000013,LOT-4072-13,SUPP-001,PART-001,4719,2023-11-26T00:00:00,0.8419,85078.103,3.19,50,8750420.68,False,none,evening,OP-031,22.6121982916286,51.81593216962476,MAT-9125,Standard,WH-B-06
BATCH-000014,LOT-5114-14,SUPP-001,PART-001,4091,2023-11-02T00:00:00,0.8715,85070.877,3.575,48,7240740.38,False,none,night,OP-098,23.33599594343631,63.93440946575903,MAT-2388,Enhanced,WH-B-07
BATCH-000015,LOT-8117-15,SUPP-001,PART-001,4206,2023-08-23T00:00:00,0.863,84085.727,0.551,53,7653674.34,False,none,night,OP-066,21.244458306604006,51.3935734053769,MAT-7471,Standard,WH-B-28
BATCH-000016,LOT-7570-16,SUPP-001,PART-001,2994,2023-09-02T00:00:00,0.8558,85751.527,1.88,48,5525535.07,False,none,day,OP-021,19.370445899784823,40.22688624934426,MAT-6243,Reduced,WH-C-15
