failure_id,vin,reported_date,failure_mode,component_category,severity,mileage_at_failure,warranty_claim,repair_cost,downtime_days,dealer_code,customer_complaint,root_cause_identified,recall_related
0a0610b8-41c8-4040-bf8e-1080f65bd68b,VIN100008,2024-08-19T00:00:00,misfire,Engine,5,79255,False,2648.53,12,DLR-172,"Engine runs rough, lacks power, check engine light on",True,True
bf745ece-25aa-49f2-86a3-11725cc19959,VIN100011,2024-08-06T00:00:00,caliper_seizure,Brake,4,15738,True,1710.02,9,DLR-054,Vehicle pulls to one side when braking,True,True
5c4c5eb6-76d2-413f-ba37-35afe2cc406a,VIN100022,2025-08-31T00:00:00,disc_warping,Brake,3,60283,True,1763.46,9,DLR-058,Vibration in steering wheel when braking,False,False
165c9496-29b6-4a6a-8dc5-258194103cbe,VIN100027,2025-05-22T00:00:00,gear_slip,Transmission,3,28333,False,3557.66,1,DLR-136,"Transmission slipping, won't stay in gear",True,False
f4a460b5-d2c6-45a4-98b5-6fa47db7c87a,VIN100036,2024-09-22T00:00:00,ecu_failure,Electrical,3,78880,True,1236.42,7,DLR-043,"Check engine light, poor performance, won't start",False,True
e692177d-9bf4-4ae0-9aa8-5c9a3dd414ce,VIN100040,2024-10-26T00:00:00,sensor_malfunction,Electrical,4,54354,True,1441.89,1,DLR-004,"Warning lights on dashboard, erratic behavior",True,False
080d1d80-580c-42c8-9581-0b6d4b36df9d,VIN100044,2024-03-15T00:00:00,overheating,Engine,3,28479,True,2010.92,2,DLR-034,"Temperature gauge shows high, steam from engine",True,True
0c87c672-919a-4e7b-b4f6-4258f328cd28,VIN100059,2025-02-13T00:00:00,harness_corrosion,Electrical,5,30005,False,1761.83,13,DLR-197,"Electrical issues, intermittent problems",True,False
2adaac06-5d70-40bc-81ca-24c6688fcc05,VIN100065,2025-03-03T00:00:00,fluid_leak,Transmission,4,24278,True,4244.41,6,DLR-157,"Red fluid leaking, transmission not shifting properly",True,False
832612f7-797d-40ca-ac01-6111511fe83e,VIN100068,2025-02-24T00:00:00,caliper_seizure,Brake,5,24578,False,1512.27,8,DLR-198,Vehicle pulls to one side when braking,True,False
51088e41-516a-4d7f-a7fb-4be66df919f3,VIN100083,2025-02-24T00:00:00,battery_drain,Electrical,5,41487,True,1687.75,3,DLR-093,"Battery dies overnight, electrical components failing",True,True
74038d31-16d0-488e-a9ce-368c23b17696,VIN100098,2025-07-03T00:00:00,misfire,Engine,4,52952,False,4004.83,2,DLR-107,"Engine runs rough, lacks power, check engine light on",True,False
3fdd444a-4622-440f-b948-cf2c2c56112a,VIN100103,2025-01-24T00:00:00,shift_delay,Transmission,5,48322,False,3849.94,5,DLR-169,"Delayed engagement when shifting, harsh shifts",False,False
6bf088e5-4d30-473f-8aa1-663b3758aed5,VIN100118,2024-11-22T00:00:00,oil_leak,Engine,4,27680,False,3671.49,10,DLR-095,"Oil spots under vehicle, engine oil level dropping",True,False
75d660ff-3590-4f04-a626-488fbe75d3b5,VIN100134,2024-08-05T00:00:00,overheating,Engine,3,9125,True,2874.75,11,DLR-163,"Temperature gauge shows high, steam from engine",True,False
69580805-e51d-4963-aca6-86bbf3a0eec3,VIN100137,2025-05-17T00:00:00,overheating,Engine,5,40991,True,3356.56,13,DLR-058,"Temperature gauge shows high, steam from engine",True,False
e92b8633-b1bc-4f50-bb02-10ffc3162cbd,VIN100143,2024-12-15T00:00:00,timing_failure,Engine,4,70878,True,2553.86,10,DLR-006,"Strange noise from engine, won't start properly",True,False
37d240c3-eacf-4dcf-bd88-732af7ac53be,VIN100157,2025-01-14T00:00:00,overheating,Engine,3,57642,True,2608.09,7,DLR-081,"Temperature gauge shows high, steam from engine",True,False
60a081e6-cecc-4424-bf2c-822725ff3bbf,VIN100162,2024-09-12T00:00:00,rust_formation,Body,5,9221,True,1312.93,5,DLR-165,"Rust spots appearing, metal corrosion",True,True
9f6caba8-a69f-493f-8e05-b6b98d5843ca,VIN100163,2025-01-30T00:00:00,timing_failure,Engine,4,34360,True,2313.39,9,DLR-106,"Strange noise from engine, won't start properly",True,False
0189a104-e352-429a-b731-3c0ef654b1b5,VIN100166,2025-03-17T00:00:00,bushing_wear,Suspension,3,16415,True,1236.74,3,DLR-192,"Clunking noise over bumps, steering feels loose",True,False
e3da70b8-0f71-414b-a5d9-fbbba5dd9ffb,VIN100172,2025-01-21T00:00:00,harness_corrosion,Electrical,4,17808,True,1301.91,2,DLR-031,"Electrical issues, intermittent problems",True,False
4d532c52-11a0-4e63-a4c9-846d48e7eab2,VIN100173,2025-05-08T00:00:00,fluid_leak,Transmission,5,70944,True,4236.45,2,DLR-060,"Red fluid leaking, transmission not shifting properly",True,False
