vin,model,segment,color,trim_level,engine_type,assembly_date,assembly_shift,assembly_line,target_market,planned_delivery_date,msrp_usd,production_sequence,quality_gate_passed
VIN100001,CityHatch-C5,Compact,Black,Sport,ICE,2024-11-12T00:00:00,night,Line_1,Domestic,2024-11-28T00:00:00,58611,1,True
VIN100002,EcoSedan-X1,Compact,Black,Sport,ICE,2024-06-29T00:00:00,day,Line_2,Export,2024-07-18T00:00:00,94190,2,True
VIN100003,EcoSedan-X1,Compact,Black,Base,ICE,2024-11-28T00:00:00,day,Line_2,Export,2025-01-04T00:00:00,75103,3,True
VIN100004,EcoSedan-X1,Compact,White,Sport,ICE,2024-12-17T00:00:00,evening,Line_2,Export,2025-01-12T00:00:00,76705,4,True
VIN100005,WorkTruck-T6,Commercial,White,Sport,ICE,2024-01-16T00:00:00,evening,Line_1,Domestic,2024-02-28T00:00:00,70826,5,False
VIN100006,FamilySUV-M3,SUV,White,Sport,ICE,2024-10-20T00:00:00,evening,Line_2,Export,2024-11-08T00:00:00,86306,6,True
VIN100007,EcoSedan-X1,Compact,Red,Premium,ICE,2024-03-20T00:00:00,night,Line_2,Domestic,2024-04-29T00:00:00,42436,7,True
VIN100008,CityHatch-C5,Compact,White,Base,ICE,2024-03-16T00:00:00,evening,Line_2,Domestic,2024-04-17T00:00:00,50807,8,False
VIN100009,WorkTruck-T6,Commercial,Gray,Base,ICE,2024-04-09T00:00:00,night,Line_1,Commercial Export,2024-05-12T00:00:00,41393,9,True
VIN100010,WorkTruck-T6,Commercial,Black,Luxury,Hybrid,2024-07-10T00:00:00,evening,Line_2,Commercial Export,2024-07-27T00:00:00,81610,10,True
VIN100011,EcoSedan-X1,Compact,Black,Sport,Hybrid,2024-01-28T00:00:00,day,Line_2,Export,2024-03-03T00:00:00,75225,11,True
VIN100012,LuxurySUV-L4,Premium SUV,Black,Luxury,ICE,2024-08-18T00:00:00,night,Line_1,Premium Export,2024-09-17T00:00:00,75251,12,True
VIN100013,FamilySUV-M3,SUV,Blue,Luxury,ICE,2024-07-03T00:00:00,night,Line_1,Export,2024-08-05T00:00:00,87499,13,True
VIN100014,CityHatch-C5,Compact,Black,Sport,Hybrid,2024-01-19T00:00:00,day,Line_2,Domestic,2024-03-01T00:00:00,84460,14,True
VIN100015,CityHatch-C5,Compact,Gray,Base,ICE,2024-02-29T00:00:00,evening,Line_2,Domestic,2024-03-22T00:00:00,89059,15,True
VIN100016,SportSedan-S2,Mid-size,Black,Sport,ICE,2024-04-25T00:00:00,night,Line_2,Domestic,2024-05-22T00:00:00,49551,16,True
VIN100017,SportSedan-S2,Mid-size,Red,Base,ICE,2024-06-20T00:00:00,night,Line_1,Domestic,2024-07-20T00:00:00,85078,17,True
VIN100018,SportSedan-S2,Mid-size,Other,Sport,ICE,2024-12-08T00:00:00,evening,Line_1,Premium Export,2025-01-15T00:00:00,101346,18,True
VIN100019,WorkTruck-T6,Commercial,Blue,Sport,ICE,2024-02-14T00:00:00,day,Line_2,Domestic,2024-03-02T00:00:00,69688,19,True
VIN100020,EcoSedan-X1,Compact,Silver,Premium,ICE,2024-10-07T00:00:00,night,Line_1,Export,2024-10-24T00:00:00,41570,20,True
VIN100021,EcoSedan-X1,Compact,White,Sport,ICE,2024-10-16T00:00:00,night,Line_1,Export,2024-11-04T00:00:00,50356,21,False
VIN100022,LuxurySUV-L4,Premium SUV,White,Base,Hybrid,2024-09-12T00:00:00,night,Line_2,Premium Export,2024-10-21T00:00:00,82609,22,True
VIN100023,EcoSedan-X1,Compact,Blue,Base,Electric,2024-12-13T00:00:00,night,Line_2,Domestic,2025-01-13T00:00:00,103851,23,True
VIN100024,WorkTruck-T6,Commercial,Black,Sport,ICE,2024-05-20T00:00:00,evening,Line_1,Commercial Export,2024-06-08T00:00:00,58263,24,True
VIN100025,EcoSedan-X1,Compact,Silver,Luxury,ICE,2024-12-30T00:00:00,day,Line_1,Export,2025-01-24T00:00:00,98341,25,True
VIN100026,FamilySUV-M3,SUV,White,Base,ICE,2024-06-05T00:00:00,day,Line_2,Export,2024-07-06T00:00:00,72085,26,True
VIN100027,LuxurySUV-L4,Premium SUV,Black,Sport,ICE,2024-09-30T00:00:00,day,Line_1,Premium Export,2024-11-05T00:00:00,83212,27,True
VIN100028,CityHatch-C5,Compact,Black,Base,ICE,2024-11-08T00:00:00,evening,Line_1,Domestic,2024-12-02T00:00:00,88969,28,True
VIN100029,CityHatch-C5,Compact,Silver,Sport,Hybrid,2024-07-30T00:00:00,night,Line_2,Domestic,2024-08-30T00:00:00,58552,29,True
VIN100030,EcoSedan-X1,Compact,White,Base,Electric,2024-06-16T00:00:00,evening,Line_1,Domestic,2024-07-20T00:00:00,91320,30,True
VIN100031,EcoSedan-X1,Compact,Blue,Sport,ICE,2024-11-19T00:00:00,night,Line_1,Domestic,2024-12-23T00:00:00,67128,31,True
VIN100032,WorkTruck-T6,Commercial,Blue,Luxury,Hybrid,2024-06-05T00:00:00,evening,Line_1,Domestic,2024-07-15T00:00:00,46072,32,True
VIN100033,EcoSedan-X1,Compact,Red,Base,ICE,2024-12-23T00:00:00,evening,Line_2,Export,2025-01-17T00:00:00,49005,33,True
VIN100034,EcoSedan-X1,Compact,Silver,Sport,Hybrid,2024-01-11T00:00:00,evening,Line_1,Export,2024-02-16T00:00:00,73446,34,True
VIN100035,EcoSedan-X1,Compact,Brown,Base,ICE,2024-06-02T00:00:00,evening,Line_1,Domestic,2024-06-16T00:00:00,63154,35,True
VIN100036,EcoSedan-X1,Compact,Black,Base,ICE,2024-08-09T00:00:00,day,Line_2,Export,2024-09-04T00:00:00,100570,36,True
VIN100037,EcoSedan-X1,Compact,Black,Base,Hybrid,2024-01-12T00:00:00,night,Line_2,Export,2024-01-27T00:00:00,40201,37,True
VIN100038,SportSedan-S2,Mid-size,Black,Base,Hybrid,2024-09-12T00:00:00,night,Line_2,Domestic,2024-09-29T00:00:00,87053,38,True
VIN100039,EcoSedan-X1,Compact,Gray,Luxury,ICE,2024-05-11T00:00:00,night,Line_2,Domestic,2024-06-15T00:00:00,91833,39,True
VIN100040,CityHatch-C5,Compact,Black,Sport,ICE,2024-02-22T00:00:00,night,Line_1,Domestic,2024-03-18T00:00:00,54925,40,True
VIN100041,CityHatch-C5,Compact,White,Sport,ICE,2024-10-02T00:00:00,evening,Line_2,Domestic,2024-10-16T00:00:00,60773,41,True
VIN100042,FamilySUV-M3,SUV,White,Luxury,Electric,2024-02-22T00:00:00,night,Line_1,Export,2024-04-02T00:00:00,108850,42,True
VIN100043,SportSedan-S2,Mid-size,Gray,Base,Electric,2024-04-11T00:00:00,evening,Line_1,Domestic,2024-05-18T00:00:00,66694,43,True
VIN100044,CityHatch-C5,Compact,Gray,Sport,ICE,2024-01-10T00:00:00,night,Line_2,Domestic,2024-02-09T00:00:00,46034,44,True
VIN100045,EcoSedan-X1,Compact,Black,Base,Electric,2024-06-09T00:00:00,day,Line_1,Export,2024-07-13T00:00:00,47981,45,True
VIN100046,LuxurySUV-L4,Premium SUV,White,Sport,ICE,2024-09-04T00:00:00,night,Line_2,Premium Export,2024-09-24T00:00:00,127858,46,True
VIN100047,EcoSedan-X1,Compact,White,Base,ICE,2024-02-02T00:00:00,evening,Line_1,Export,2024-02-24T00:00:00,40416,47,True
VIN100048,EcoSedan-X1,Compact,White,Premium,Hybrid,2024-08-17T00:00:00,night,Line_1,Export,2024-09-22T00:00:00,96572,48,True
VIN100049,CityHatch-C5,Compact,Black,Sport,ICE,2024-09-11T00:00:00,evening,Line_1,Domestic,2024-10-07T00:00:00,35609,49,True
VIN100050,WorkTruck-T6,Commercial,White,Sport,ICE,2024-04-07T00:00:00,day,Line_2,Domestic,2024-05-09T00:00:00,67498,50,True
VIN100051,LuxurySUV-L4,Premium SUV,Red,Sport,ICE,2024-10-30T00:00:00,day,Line_2,Premium Export,2024-12-02T00:00:00,83244,51,True
VIN100052,CityHatch-C5,Compact,Gray,Sport,ICE,2024-12-18T00:00:00,night,Line_2,Domestic,2025-01-28T00:00:00,67615,52,True
VIN100053,SportSedan-S2,Mid-size,Silver,Sport,Hybrid,2024-05-29T00:00:00,night,Line_2,Domestic,2024-06-30T00:00:00,45654,53,True
VIN100054,CityHatch-C5,Compact,Silver,Luxury,ICE,2024-01-12T00:00:00,day,Line_2,Domestic,2024-01-26T00:00:00,40076,54,True
VIN100055,EcoSedan-X1,Compact,White,Sport,ICE,2024-09-24T00:00:00,day,Line_1,Export,2024-10-16T00:00:00,97033,55,True
VIN100056,CityHatch-C5,Compact,Silver,Luxury,Electric,2024-02-02T00:00:00,evening,Line_2,Domestic,2024-02-23T00:00:00,79826,56,True
VIN100057,CityHatch-C5,Compact,White,Luxury,ICE,2024-09-09T00:00:00,night,Line_1,Domestic,2024-09-28T00:00:00,46437,57,True
VIN100058,FamilySUV-M3,SUV,Black,Base,ICE,2024-08-20T00:00:00,evening,Line_1,Domestic,2024-09-05T00:00:00,70580,58,True
VIN100059,FamilySUV-M3,SUV,Silver,Sport,ICE,2024-08-16T00:00:00,evening,Line_1,Export,2024-09-09T00:00:00,49417,59,True
VIN100060,CityHatch-C5,Compact,Red,Luxury,Hybrid,2024-06-24T00:00:00,night,Line_2,Domestic,2024-08-03T00:00:00,64754,60,True
VIN100061,EcoSedan-X1,Compact,White,Luxury,ICE,2024-04-07T00:00:00,night,Line_2,Export,2024-04-23T00:00:00,67176,61,True
VIN100062,LuxurySUV-L4,Premium SUV,Black,Luxury,Hybrid,2024-01-09T00:00:00,evening,Line_1,Premium Export,2024-02-17T00:00:00,100047,62,True
VIN100063,EcoSedan-X1,Compact,White,Sport,ICE,2024-03-11T00:00:00,day,Line_1,Domestic,2024-04-02T00:00:00,82454,63,True
VIN100064,CityHatch-C5,Compact,Silver,Premium,ICE,2024-04-18T00:00:00,day,Line_1,Domestic,2024-05-21T00:00:00,67463,64,True
VIN100065,CityHatch-C5,Compact,Gray,Premium,Hybrid,2024-04-10T00:00:00,evening,Line_2,Domestic,2024-05-07T00:00:00,87866,65,True
VIN100066,CityHatch-C5,Compact,White,Base,ICE,2024-01-02T00:00:00,evening,Line_1,Domestic,2024-02-15T00:00:00,65657,66,True
VIN100067,CityHatch-C5,Compact,Red,Premium,Hybrid,2024-07-01T00:00:00,night,Line_1,Domestic,2024-07-22T00:00:00,76794,67,True
VIN100068,CityHatch-C5,Compact,Silver,Sport,ICE,2024-04-11T00:00:00,evening,Line_2,Domestic,2024-05-09T00:00:00,47259,68,True
VIN100069,SportSedan-S2,Mid-size,Gray,Luxury,ICE,2024-07-26T00:00:00,evening,Line_2,Domestic,2024-09-06T00:00:00,96063,69,True
